出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150617","11505","5531","鄉林","建材營造","77260","44630","49793","73.11225632982298","55.16237222099492","263970","230893","14.325683325176596","建設業之銷售進度及狀況深受景氣榮枯及市場現狀影響，且建築個案之完工時間並非固定時點，故月營收的表現上會有較大之波動。"
"1150617","11505","5533","皇鼎","建材營造","139940","99268","57168","40.97191441350687","144.78729359082004","581631","540467","7.616376207983096","本期營收較去年同期增加達50%以上，係兩期個案營收組成因子不同。"
"1150617","11505","5534","長虹","建材營造","498821","214893","90270","132.1252902607344","452.5877921790185","1590618","1404021","13.290185830553817","本月營收較去年同期增加，主要係因本月過戶交屋數額較去年同期增加所致。"
"1150617","11505","5538","東明-KY","鋼鐵工業","1171741","1288935","957524","-9.092312645711383","22.371971877467303","5618633","5194677","8.161354401823251","-"
"1150617","11505","5546","永固-KY","建材營造","135662","108838","229629","24.645803855271136","-40.92122510658497","442624","1018976","-56.56188173224884","本公司為控管風險，控管客戶品質，因此整體出貨量減少致5月營收衰退。"
"1150617","11505","5607","遠雄港","航運業","461231","434938","331922","6.045229434999931","38.95764667602629","2110196","1548639","36.26132365257494","-"
"1150617","11505","5608","四維航","航運業","294434","264867","258544","11.162961033273303","13.88158301875116","1327925","1309782","1.385192344985654","-"
"1150617","11505","5706","鳳凰","觀光餐旅","273358","279496","278969","-2.196095829636202","-2.011334592732526","1262257","1350367","-6.524892862458873","-"
"1150617","11505","5871","中租-KY","其他","8371058","7950143","8263678","5.294433068688199","1.2994213956545742","40319444","41240084","-2.2323911852361893","-"
"1150617","11505","5876","上海商銀","金融保險業","4250508","4216556","4037170","0.8052069034539089","5.2843452220243385","22227207","22421251","-0.8654468031244108","-"
"1150617","11505","5880","合庫金","金融保險業","6305060","6093827","4588013","3.466343891941796","37.424632406229016","28313199","22659528","24.950524123891725","-"
"1150617","11505","5906","台南-KY","貿易百貨","132595","136774","122518","-3.055405267082925","8.224913890203888","699632","722595","-3.1778520471356706","-"
"1150617","11505","5907","大洋-KY","貿易百貨","238159","248163","231893","-4.031221414957105","2.702108299948683","1199900","1251221","-4.1016734853395205","-"
"1150617","11505","6005","群益證","金融保險業","3798596","4647819","1486494","-18.271430105174062","155.54062108558796","15575029","6633112","134.80726693594198","主係自營操作獲利增加及成交量增加致經紀手續費收入增加"
"1150617","11505","6024","群益期","金融保險業","-244632","157292","243394","-255.52729954479565","-200.50864031159355","597390","1347792","-55.67639517076819","差異原因: 自營部門從事套利交易，本月營業外收入660,597千元，亦為本公司營業收入；該業外收入累計至五月為1,182,974千元。"
"1150617","11505","6108","競國","電子零組件業","442828","524776","349950","-15.615805600865894","26.540362908987","1971180","1680115","17.32411174235097","-"
"1150617","11505","6112","邁達特","資訊服務業","2237161","2193062","1965096","2.0108414627584628","13.844870683162553","10448446","8418159","24.117945503286407","-"
"1150617","11505","6115","鎰勝","電子零組件業","728177","738560","583766","-1.4058438041594454","24.737823031831248","3328535","2999359","10.974878298996552","-"
"1150617","11505","6116","彩晶","光電業","960203","1034587","1068558","-7.189728848323051","-10.140301228384422","5010200","4974301","0.7216893388638926","-"
"1150617","11505","6117","迎廣","電腦及週邊設備業","270068","304720","290062","-11.37175111577842","-6.893009080817205","1413899","1267147","11.581292462516188","-"
"1150617","11505","6120","達運","光電業","1319690","1339844","1470123","-1.504204967145429","-10.23268121102792","7185865","7995056","-10.121142365982177","-"
"1150617","11505","6128","上福","電腦及週邊設備業","430244","422683","451398","1.788811000205828","-4.686330023615524","2192952","2293117","-4.368071930041075","-"
"1150617","11505","6133","金橋","電子零組件業","116817","126568","110875","-7.704159029138487","5.359188275084555","567576","537183","5.657848442709468","-"
